State_Name,District_Name,Data Type,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
ANDHRA PRADESH,ANANTAPUR,Cloud cover,18.33,15.99,19.57,27.52,38.36,64.32,78.42,70.98,60.08,48.80,35.85,27.07
ANDHRA PRADESH,ANANTAPUR,Vapour pressure,15.05,14.88,15.58,19.46,20.92,22.82,22.60,22.55,22.46,21.27,18.14,16.15
ANDHRA PRADESH,ANANTAPUR,Wet day frequency,0.20,0.33,0.74,2.19,4.47,4.18,6.53,6.55,7.33,6.27,2.98,1.03
ANDHRA PRADESH,ANANTAPUR,Diurnal temperature range,12.80,13.71,14.24,13.59,12.65,9.46,7.95,7.93,8.96,9.27,10.09,11.19
ANDHRA PRADESH,ANANTAPUR,Ground frost frequency,0.03,0.06,0.06,0.02,0.02,0.00,0.00,0.00,0.01,0.02,0.02,0.03
ANDHRA PRADESH,ANANTAPUR,Reference Crop Evapotranspiration,3.92,4.77,5.78,6.30,6.17,5.06,4.49,4.41,4.49,4.12,3.68,3.48
ANDHRA PRADESH,ANANTAPUR,Potential Evapotranspiration,5.97,6.79,7.64,7.97,7.80,6.32,5.45,5.47,5.76,5.62,5.48,5.43
ANDHRA PRADESH,CHITTOOR,Precipitation,4.52,6.70,8.72,31.43,80.17,67.99,86.07,110.19,163.86,159.60,109.47,38.61
ANDHRA PRADESH,CHITTOOR,Minimum temperature,16.48,17.54,19.91,22.76,23.54,22.98,22.26,21.98,21.41,20.65,18.80,17.14
ANDHRA PRADESH,CHITTOOR,Average temperature,22.34,24.06,26.69,29.11,29.72,28.07,26.95,26.58,26.22,25.21,23.36,22.07
ANDHRA PRADESH,CHITTOOR,Maximum temperature,28.26,30.63,33.50,35.47,35.92,33.20,31.65,31.23,31.09,29.82,27.95,27.04
ANDHRA PRADESH,CHITTOOR,Cloud cover,24.71,19.45,21.81,30.88,42.43,66.51,78.28,70.63,61.34,55.31,43.64,34.83
ANDHRA PRADESH,CHITTOOR,Vapour pressure,17.70,17.74,19.06,23.10,24.87,24.22,23.99,24.20,24.46,23.77,20.87,19.05
ANDHRA PRADESH,CHITTOOR,Wet day frequency,0.80,0.89,0.93,1.83,4.70,3.96,6.06,6.62,7.90,7.30,5.29,2.60
ANDHRA PRADESH,CHITTOOR,Diurnal temperature range,11.77,13.07,13.59,12.69,12.38,10.22,9.38,9.24,9.66,9.15,9.15,9.89
ANDHRA PRADESH,CHITTOOR,Ground frost frequency,0.51,0.74,0.72,0.48,0.25,0.09,0.07,0.06,0.15,0.29,0.41,0.50
ANDHRA PRADESH,CHITTOOR,Reference Crop Evapotranspiration,3.79,4.62,5.55,6.01,6.12,5.38,5.04,4.91,4.78,4.16,3.56,3.34
ANDHRA PRADESH,CHITTOOR,Potential Evapotranspiration,5.75,6.64,7.42,7.61,7.58,6.50,5.95,5.96,6.03,5.55,5.19,5.12
ANDHRA PRADESH,CUDDAPAH,Precipitation,0.77,2.88,6.15,22.63,58.06,48.83,69.98,91.46,155.82,124.40,70.19,17.10
ANDHRA PRADESH,CUDDAPAH,Minimum temperature,16.41,17.91,20.59,23.57,24.27,23.37,22.51,22.20,21.69,20.79,18.56,16.72
ANDHRA PRADESH,CUDDAPAH,Average temperature,22.57,24.70,27.70,30.25,30.64,28.40,26.99,26.56,26.30,25.38,23.34,22.01
ANDHRA PRADESH,CUDDAPAH,Maximum temperature,28.78,31.52,34.85,36.96,37.01,33.49,31.48,30.95,30.96,30.03,28.16,27.34
ANDHRA PRADESH,CUDDAPAH,Cloud cover,20.03,16.47,19.69,27.02,38.30,63.36,78.00,70.38,59.64,50.58,37.86,29.18
ANDHRA PRADESH,CUDDAPAH,Vapour pressure,16.35,16.12,17.08,21.37,23.06,23.71,23.44,23.48,23.80,22.60,19.26,17.33
ANDHRA PRADESH,CUDDAPAH,Wet day frequency,0.42,0.48,0.72,1.63,3.97,3.92,5.99,6.54,7.65,6.82,4.43,1.87
ANDHRA PRADESH,CUDDAPAH,Diurnal temperature range,12.36,13.59,14.25,13.38,12.72,10.10,8.95,8.75,9.26,9.22,9.59,10.61
ANDHRA PRADESH,CUDDAPAH,Ground frost frequency,0.59,0.88,0.84,0.51,0.28,0.09,0.07,0.05,0.14,0.32,0.45,0.57
ANDHRA PRADESH,CUDDAPAH,Reference Crop Evapotranspiration,3.84,4.74,5.79,6.34,6.37,5.44,4.96,4.81,4.69,4.16,3.59,3.39
ANDHRA PRADESH,CUDDAPAH,Potential Evapotranspiration,5.89,6.75,7.61,7.92,7.85,6.62,5.88,5.84,5.94,5.63,5.36,5.30
ANDHRA PRADESH,EAST GODAVARI,Precipitation,3.64,8.75,7.22,19.81,37.35,125.67,194.67,173.43,181.62,169.67,88.24,12.83
ANDHRA PRADESH,EAST GODAVARI,Minimum temperature,18.16,19.68,21.86,24.76,26.75,26.18,24.95,24.81,24.62,23.37,20.68,18.29
ANDHRA PRADESH,EAST GODAVARI,Average temperature,23.25,25.01,27.42,29.97,32.04,30.89,28.63,28.26,28.27,27.31,25.07,23.16
ANDHRA PRADESH,EAST GODAVARI,Maximum temperature,28.37,30.38,33.03,35.21,37.35,35.63,32.36,31.75,31.95,31.28,29.51,28.07
ANDHRA PRADESH,EAST GODAVARI,Cloud cover,19.14,15.63,22.71,26.54,38.36,61.67,77.50,72.73,61.82,44.78,31.34,24.83
ANDHRA PRADESH,EAST GODAVARI,Vapour pressure,20.29,21.78,24.06,28.06,30.14,29.60,29.32,29.26,30.11,27.28,22.55,20.12
ANDHRA PRADESH,EAST GODAVARI,Wet day frequency,0.68,1.06,0.90,1.42,2.69,7.07,11.66,11.10,8.94,7.12,3.34,0.95
ANDHRA PRADESH,EAST GODAVARI,Diurnal temperature range,10.19,10.69,11.16,10.45,10.60,9.44,7.41,6.94,7.33,7.90,8.82,9.77
ANDHRA PRADESH,EAST GODAVARI,Ground frost frequency,0.02,0.04,0.04,0.05,0.03,0.00,0.00,0.00,0.00,0.03,0.03,0.03
ANDHRA PRADESH,EAST GODAVARI,Reference Crop Evapotranspiration,3.39,4.08,5.01,5.57,6.06,5.64,4.74,4.46,4.31,3.92,3.44,3.18
ANDHRA PRADESH,EAST GODAVARI,Potential Evapotranspiration,5.31,6.01,6.72,7.04,7.28,6.64,5.54,5.27,5.32,5.32,5.20,5.07
ANDHRA PRADESH,GUNTUR,Precipitation,3.32,4.92,3.78,14.50,44.37,72.21,107.72,113.28,139.85,167.69,101.76,14.56
ANDHRA PRADESH,GUNTUR,Minimum temperature,18.05,19.62,22.06,25.21,27.11,26.21,24.84,24.59,24.22,22.97,20.20,18.11
ANDHRA PRADESH,GUNTUR,Average temperature,23.73,25.73,28.49,31.32,33.08,31.35,29.17,28.64,28.46,27.36,24.92,23.37
ANDHRA PRADESH,GUNTUR,Maximum temperature,29.48,31.87,34.93,37.44,39.11,36.52,33.51,32.75,32.72,31.79,29.68,28.64
ANDHRA PRADESH,GUNTUR,Cloud cover,15.90,12.79,19.84,24.03,34.75,59.12,77.60,71.23,59.07,44.59,31.50,23.10
ANDHRA PRADESH,GUNTUR,Vapour pressure,18.54,18.94,20.38,24.74,26.64,27.53,27.25,27.14,27.93,25.14,20.77,18.67
ANDHRA PRADESH,GUNTUR,Wet day frequency,0.56,0.50,0.61,1.07,2.28,5.08,7.31,7.53,7.34,6.51,3.90,1.02
ANDHRA PRADESH,GUNTUR,Diurnal temperature range,11.43,12.24,12.87,12.21,12.00,10.30,8.66,8.16,8.48,8.81,9.48,10.53
ANDHRA PRADESH,GUNTUR,Ground frost frequency,0.26,0.46,0.43,0.29,0.12,0.05,0.06,0.05,0.06,0.14,0.24,0.26
ANDHRA PRADESH,GUNTUR,Reference Crop Evapotranspiration,3.69,4.50,5.53,6.19,6.55,5.90,5.16,4.87,4.67,4.18,3.61,3.38
ANDHRA PRADESH,GUNTUR,Potential Evapotranspiration,5.71,6.48,7.26,7.66,7.82,6.97,5.99,5.76,5.79,5.65,5.41,5.32
ANDHRA PRADESH,HYDERABAD,Precipitation,1.33,3.16,5.25,17.97,35.44,114.92,190.96,180.64,175.68,90.85,19.45,5.10
ANDHRA PRADESH,HYDERABAD,Minimum temperature,16.41,18.42,21.60,24.57,25.66,23.59,22.40,21.92,21.86,20.98,17.90,15.85
ANDHRA PRADESH,HYDERABAD,Average temperature,22.91,25.32,28.69,31.46,32.42,29.16,26.90,26.27,26.43,26.00,23.51,22.05
ANDHRA PRADESH,HYDERABAD,Maximum temperature,29.41,32.22,35.89,38.35,39.20,34.74,31.47,30.65,31.01,31.07,29.11,28.25
ANDHRA PRADESH,HYDERABAD,Cloud cover,10.13,10.04,19.15,22.03,31.65,56.44,78.96,72.50,58.60,39.77,25.04,16.48
ANDHRA PRADESH,HYDERABAD,Vapour pressure,14.34,14.06,14.48,18.79,20.52,24.86,25.04,24.46,24.80,20.47,16.16,14.12
ANDHRA PRADESH,HYDERABAD,Wet day frequency,0.36,0.50,0.84,1.70,2.70,6.74,10.47,9.77,8.78,4.71,1.78,0.45
ANDHRA PRADESH,HYDERABAD,Diurnal temperature range,13.00,13.80,14.29,13.78,13.53,11.15,9.05,8.73,9.15,10.07,11.21,12.40
ANDHRA PRADESH,HYDERABAD,Ground frost frequency,0.03,0.05,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.04
ANDHRA PRADESH,HYDERABAD,Reference Crop Evapotranspiration,3.79,4.67,5.82,6.59,6.90,5.90,5.05,4.78,4.62,4.29,3.74,3.49
ANDHRA PRADESH,HYDERABAD,Potential Evapotranspiration,5.96,6.74,7.56,8.13,8.36,7.25,6.00,5.80,5.86,5.94,5.76,5.63
ANDHRA PRADESH,KARIMNAGAR,Precipitation,6.93,5.91,9.18,18.61,23.62,136.44,229.41,199.70,196.81,77.53,20.62,3.48
ANDHRA PRADESH,KARIMNAGAR,Minimum temperature,15.56,17.74,20.94,24.27,26.66,24.82,23.02,22.69,22.43,20.67,17.03,14.54
ANDHRA PRADESH,KARIMNAGAR,Average temperature,22.27,24.79,28.28,31.38,33.38,30.26,27.08,26.45,26.70,25.95,23.08,21.24
ANDHRA PRADESH,KARIMNAGAR,Maximum temperature,29.05,31.87,35.63,38.49,40.15,35.72,31.18,30.27,31.00,31.25,29.16,27.96
ANDHRA PRADESH,KARIMNAGAR,Cloud cover,11.54,10.68,21.39,23.51,32.14,57.92,79.33,74.93,60.61,38.40,23.06,15.45
ANDHRA PRADESH,KARIMNAGAR,Vapour pressure,14.81,14.66,14.90,18.66,20.37,23.09,27.34,26.41,26.74,20.75,16.23,14.32
ANDHRA PRADESH,KARIMNAGAR,Wet day frequency,0.69,1.10,0.96,1.51,2.13,8.35,11.91,11.25,8.15,4.19,1.51,0.62
ANDHRA PRADESH,KARIMNAGAR,Diurnal temperature range,13.47,14.13,14.67,14.21,13.48,10.88,8.15,7.56,8.56,10.58,12.11,13.42
ANDHRA PRADESH,KARIMNAGAR,Ground frost frequency,0.09,0.13,0.11,0.08,0.04,0.00,0.00,0.00,0.03,0.06,0.06,0.10
ANDHRA PRADESH,KARIMNAGAR,Reference Crop Evapotranspiration,3.71,4.59,5.80,6.68,7.05,6.02,4.84,4.49,4.48,4.33,3.77,3.46
ANDHRA PRADESH,KARIMNAGAR,Potential Evapotranspiration,5.86,6.67,7.52,8.16,8.37,7.28,5.78,5.40,5.65,6.02,5.87,5.67
ANDHRA PRADESH,KHAMMAM,Precipitation,2.60,6.13,7.81,22.25,40.66,128.85,201.89,177.95,175.88,111.23,38.02,3.61
ANDHRA PRADESH,KHAMMAM,Minimum temperature,17.55,19.35,21.87,25.00,27.30,26.34,24.61,24.46,24.20,22.76,19.58,17.16
ANDHRA PRADESH,KHAMMAM,Average temperature,23.38,25.52,28.37,31.20,33.33,31.44,28.56,28.12,28.15,27.31,24.72,22.85
ANDHRA PRADESH,KHAMMAM,Maximum temperature,29.25,31.72,34.91,37.44,39.40,36.57,32.54,31.83,32.15,31.87,29.89,28.59
ANDHRA PRADESH,KHAMMAM,Cloud cover,14.56,12.23,21.02,23.72,34.07,59.19,78.22,73.10,60.24,42.26,27.58,20.51
ANDHRA PRADESH,KHAMMAM,Vapour pressure,18.20,18.88,20.20,24.19,26.23,27.46,28.85,28.40,29.18,25.10,20.26,18.04
ANDHRA PRADESH,KHAMMAM,Wet day frequency,0.44,0.64,0.92,1.31,2.37,6.78,10.70,9.86,8.18,5.52,2.03,0.50
ANDHRA PRADESH,KHAMMAM,Diurnal temperature range,11.68,12.36,13.02,12.43,12.09,10.22,7.92,7.36,7.95,9.10,10.29,11.41
ANDHRA PRADESH,KHAMMAM,Ground frost frequency,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ANDHRA PRADESH,KHAMMAM,Reference Crop Evapotranspiration,3.61,4.42,5.51,6.22,6.65,5.94,4.91,4.57,4.46,4.17,3.67,3.40
ANDHRA PRADESH,KHAMMAM,Potential Evapotranspiration,5.65,6.42,7.23,7.71,7.88,7.02,5.74,5.44,5.55,5.70,5.57,5.41
ANDHRA PRADESH,KRISHNA,Precipitation,3.29,5.31,4.08,13.99,46.48,95.93,143.79,139.84,154.68,162.25,94.22,14.91
ANDHRA PRADESH,KRISHNA,Minimum temperature,18.03,19.56,21.71,24.73,26.78,26.17,24.78,24.62,24.29,23.04,20.29,18.18
ANDHRA PRADESH,KRISHNA,Average temperature,23.33,25.18,27.63,30.31,32.38,31.09,28.84,28.41,28.24,27.18,24.79,23.17
ANDHRA PRADESH,KRISHNA,Maximum temperature,28.67,30.86,33.58,35.91,38.04,36.07,32.91,32.22,32.24,31.35,29.33,28.19
ANDHRA PRADESH,KRISHNA,Cloud cover,17.51,14.30,21.39,25.55,36.83,59.52,76.46,70.59,59.85,44.07,31.70,24.60
ANDHRA PRADESH,KRISHNA,Vapour pressure,19.29,20.13,21.81,25.94,27.77,27.97,27.94,27.87,28.68,25.89,21.50,19.35
ANDHRA PRADESH,KRISHNA,Wet day frequency,0.57,0.53,0.66,1.04,2.02,5.36,8.18,8.05,7.44,6.43,3.68,1.01
ANDHRA PRADESH,KRISHNA,Diurnal temperature range,10.64,11.29,11.85,11.17,11.26,9.89,8.13,7.60,7.93,8.30,9.02,10.00
ANDHRA PRADESH,KRISHNA,Ground frost frequency,0.03,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.04
ANDHRA PRADESH,KRISHNA,Reference Crop Evapotranspiration,3.52,4.25,5.21,5.81,6.29,5.78,4.98,4.68,4.50,4.03,3.50,3.27
ANDHRA PRADESH,KRISHNA,Potential Evapotranspiration,5.44,6.18,6.90,7.25,7.46,6.78,5.76,5.51,5.53,5.44,5.23,5.13
ANDHRA PRADESH,KURNOOL,Precipitation,1.09,1.28,3.59,17.79,46.01,50.46,60.68,71.28,132.85,108.69,40.32,8.18
ANDHRA PRADESH,KURNOOL,Minimum temperature,17.13,19.12,22.01,25.05,25.51,24.34,23.35,23.06,22.61,21.72,19.16,16.98
ANDHRA PRADESH,KURNOOL,Average temperature,23.69,26.18,29.42,32.03,32.15,29.47,27.64,27.25,27.15,26.49,24.42,22.90
ANDHRA PRADESH,KURNOOL,Maximum temperature,30.30,33.26,36.85,39.03,38.80,34.63,31.96,31.49,31.76,31.32,29.70,28.89
ANDHRA PRADESH,KURNOOL,Cloud cover,14.03,11.97,17.66,23.09,33.91,59.66,76.77,69.49,57.55,43.27,30.74,21.37
ANDHRA PRADESH,KURNOOL,Vapour pressure,15.24,14.81,15.32,19.71,21.21,24.10,23.77,23.73,23.84,21.80,17.99,15.86
ANDHRA PRADESH,KURNOOL,Wet day frequency,0.25,0.32,0.54,1.53,3.26,3.85,5.52,5.58,7.10,5.66,2.52,0.85
ANDHRA PRADESH,KURNOOL,Diurnal temperature range,13.16,14.13,14.81,13.98,13.28,10.29,8.58,8.42,9.13,9.60,10.53,11.90
ANDHRA PRADESH,KURNOOL,Ground frost frequency,0.15,0.25,0.24,0.14,0.07,0.03,0.02,0.01,0.04,0.09,0.12,0.15
ANDHRA PRADESH,KURNOOL,Reference Crop Evapotranspiration,4.00,4.93,6.08,6.71,6.74,5.64,4.95,4.80,4.72,4.30,3.80,3.61
ANDHRA PRADESH,KURNOOL,Potential Evapotranspiration,6.08,6.93,7.81,8.22,8.21,6.86,5.86,5.79,5.95,5.85,5.66,5.63
ANDHRA PRADESH,MAHBUBNAGAR,Precipitation,1.25,2.21,4.71,19.80,39.58,85.78,112.53,118.95,158.39,101.03,26.12,6.52
ANDHRA PRADESH,MAHBUBNAGAR,Minimum temperature,17.02,19.00,22.01,25.06,25.71,24.05,22.92,22.55,22.39,21.57,18.81,16.61
ANDHRA PRADESH,MAHBUBNAGAR,Average temperature,23.54,26.03,29.31,32.03,32.56,29.57,27.49,27.00,27.08,26.54,24.27,22.72
ANDHRA PRADESH,MAHBUBNAGAR,Maximum temperature,30.09,33.07,36.62,39.01,39.41,35.09,32.08,31.47,31.80,31.54,29.76,28.87
ANDHRA PRADESH,MAHBUBNAGAR,Cloud cover,11.58,10.34,18.13,21.94,31.96,57.70,77.62,70.75,58.07,40.52,27.25,18.04
ANDHRA PRADESH,MAHBUBNAGAR,Vapour pressure,14.80,14.42,14.89,19.28,20.91,24.83,24.62,24.31,24.51,21.22,17.05,15.00
ANDHRA PRADESH,MAHBUBNAGAR,Wet day frequency,0.31,0.35,0.61,1.60,2.95,5.46,7.84,7.63,7.69,5.05,1.94,0.68
ANDHRA PRADESH,MAHBUBNAGAR,Diurnal temperature range,13.07,14.05,14.60,13.94,13.70,11.04,9.15,8.91,9.39,9.96,10.94,12.24
ANDHRA PRADESH,MAHBUBNAGAR,Ground frost frequency,0.13,0.24,0.22,0.14,0.06,0.01,0.01,0.01,0.04,0.09,0.11,0.14
ANDHRA PRADESH,MAHBUBNAGAR,Reference Crop Evapotranspiration,3.92,4.84,5.99,6.70,6.93,5.89,5.12,4.91,4.76,4.35,3.81,3.58
ANDHRA PRADESH,MAHBUBNAGAR,Potential Evapotranspiration,6.03,6.87,7.70,8.21,8.39,7.17,6.05,5.93,5.98,5.95,5.75,5.67
ANDHRA PRADESH,MEDAK,Precipitation,2.86,5.29,7.21,19.28,32.32,123.61,182.57,172.78,201.68,83.22,23.30,3.96
ANDHRA PRADESH,MEDAK,Minimum temperature,15.85,17.93,21.30,24.27,25.72,23.46,22.07,21.72,21.65,20.55,17.39,15.31
ANDHRA PRADESH,MEDAK,Average temperature,22.43,24.88,28.43,31.19,32.44,28.95,26.42,25.84,26.09,25.69,23.10,21.59
ANDHRA PRADESH,MEDAK,Maximum temperature,29.05,31.87,35.58,38.11,39.20,34.47,30.80,29.98,30.57,30.85,28.87,27.93
ANDHRA PRADESH,MEDAK,Cloud cover,9.86,10.06,19.98,22.14,31.33,57.02,79.04,74.20,59.79,37.92,23.42,15.02
ANDHRA PRADESH,MEDAK,Vapour pressure,13.53,13.14,13.39,17.54,19.30,23.94,25.26,24.34,24.65,19.36,14.98,13.16
ANDHRA PRADESH,MEDAK,Wet day frequency,0.39,0.60,0.92,1.85,2.39,7.86,10.41,9.97,9.09,4.48,1.52,0.40
ANDHRA PRADESH,MEDAK,Diurnal temperature range,13.17,13.93,14.28,13.79,13.47,10.99,8.73,8.26,8.91,10.29,11.47,12.61
ANDHRA PRADESH,MEDAK,Ground frost frequency,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ANDHRA PRADESH,MEDAK,Reference Crop Evapotranspiration,3.73,4.61,5.76,6.56,6.90,5.86,4.92,4.62,4.52,4.27,3.70,3.43
ANDHRA PRADESH,MEDAK,Potential Evapotranspiration,5.92,6.69,7.49,8.12,8.37,7.23,5.89,5.60,5.73,5.97,5.78,5.62
ANDHRA PRADESH,NALGONDA,Precipitation,3.31,4.34,5.91,17.82,38.15,91.87,134.67,138.50,159.83,110.48,37.02,5.82
ANDHRA PRADESH,NALGONDA,Minimum temperature,16.51,18.39,21.23,24.46,26.20,24.56,23.17,22.83,22.59,21.37,18.25,16.05
ANDHRA PRADESH,NALGONDA,Average temperature,22.80,25.10,28.24,31.14,32.61,29.94,27.52,26.94,26.98,26.23,23.65,22.06
ANDHRA PRADESH,NALGONDA,Maximum temperature,29.15,31.84,35.28,37.84,39.08,35.32,31.94,31.09,31.39,31.14,29.08,28.10
ANDHRA PRADESH,NALGONDA,Cloud cover,11.87,10.71,19.99,22.41,32.70,57.22,78.12,72.03,59.20,41.55,27.21,18.29
ANDHRA PRADESH,NALGONDA,Vapour pressure,15.94,16.03,16.74,21.12,22.88,25.69,25.84,25.43,26.09,22.15,17.78,15.74
ANDHRA PRADESH,NALGONDA,Wet day frequency,0.39,0.42,0.90,1.39,2.47,5.55,8.55,8.01,7.52,5.01,2.16,0.56
ANDHRA PRADESH,NALGONDA,Diurnal temperature range,12.63,13.44,14.04,13.36,12.87,10.75,8.76,8.25,8.80,9.74,10.83,12.05
ANDHRA PRADESH,NALGONDA,Ground frost frequency,0.27,0.45,0.41,0.31,0.12,0.04,0.05,0.04,0.06,0.19,0.23,0.28
ANDHRA PRADESH,NALGONDA,Reference Crop Evapotranspiration,3.74,4.59,5.72,6.44,6.75,5.88,5.02,4.72,4.59,4.25,3.70,3.45
ANDHRA PRADESH,NALGONDA,Potential Evapotranspiration,5.87,6.66,7.47,7.99,8.14,7.14,5.94,5.69,5.78,5.85,5.67,5.55
ANDHRA PRADESH,NELLORE,Precipitation,4.59,6.36,8.36,15.84,43.26,49.09,84.90,103.44,138.55,182.17,157.11,53.01
ANDHRA PRADESH,NELLORE,Minimum temperature,18.14,19.29,21.60,24.83,26.39,25.91,24.87,24.41,23.89,22.66,20.41,18.71
ANDHRA PRADESH,NELLORE,Average temperature,23.68,25.45,28.14,30.98,32.42,30.98,29.45,28.88,28.49,26.97,24.68,23.39
ANDHRA PRADESH,NELLORE,Maximum temperature,29.24,31.65,34.68,37.19,38.47,36.12,34.10,33.38,33.09,31.33,28.97,28.10
ANDHRA PRADESH,NELLORE,Cloud cover,21.34,15.99,19.55,26.43,37.68,61.52,76.64,69.00,58.85,50.15,39.41,30.52
ANDHRA PRADESH,NELLORE,Vapour pressure,19.30,19.50,21.12,25.46,27.21,26.49,25.94,26.09,26.90,25.71,22.20,20.31
ANDHRA PRADESH,NELLORE,Wet day frequency,0.82,0.74,0.59,1.11,2.86,4.15,6.75,7.36,7.16,7.27,6.24,2.79
ANDHRA PRADESH,NELLORE,Diurnal temperature range,11.10,12.36,13.08,12.34,12.08,10.20,9.22,8.96,9.20,8.65,8.55,9.38
ANDHRA PRADESH,NELLORE,Ground frost frequency,0.57,0.91,0.85,0.54,0.25,0.10,0.07,0.06,0.14,0.35,0.42,0.57
ANDHRA PRADESH,NELLORE,Reference Crop Evapotranspiration,3.75,4.59,5.59,6.18,6.43,5.75,5.29,5.10,4.89,4.18,3.50,3.31
ANDHRA PRADESH,NELLORE,Potential Evapotranspiration,5.67,6.56,7.36,7.63,7.69,6.78,6.11,6.05,6.05,5.57,5.15,5.09
ANDHRA PRADESH,NIZAMABAD,Precipitation,4.53,5.70,8.10,19.97,24.69,142.63,202.43,196.67,214.78,77.11,25.47,3.15
ANDHRA PRADESH,NIZAMABAD,Minimum temperature,15.78,17.91,21.43,24.37,26.02,23.70,22.22,21.91,21.72,20.58,17.31,15.21
ANDHRA PRADESH,NIZAMABAD,Average temperature,22.49,24.95,28.59,31.36,32.83,29.21,26.45,25.86,26.10,25.81,23.17,21.64
ANDHRA PRADESH,NIZAMABAD,Maximum temperature,29.22,32.05,35.77,38.38,39.68,34.76,30.73,29.85,30.51,31.10,29.04,28.12
ANDHRA PRADESH,NIZAMABAD,Cloud cover,10.56,10.08,20.22,22.20,31.18,57.73,79.86,75.71,60.55,36.53,22.06,14.36
ANDHRA PRADESH,NIZAMABAD,Vapour pressure,13.08,12.55,12.65,16.53,18.29,22.62,26.06,24.92,24.98,18.81,14.49,12.70
ANDHRA PRADESH,NIZAMABAD,Wet day frequency,0.45,0.51,0.97,1.76,2.13,8.59,10.90,10.35,8.90,3.90,1.21,0.41
ANDHRA PRADESH,NIZAMABAD,Diurnal temperature range,13.42,14.12,14.33,14.00,13.65,11.04,8.50,7.93,8.78,10.51,11.73,12.89
ANDHRA PRADESH,NIZAMABAD,Ground frost frequency,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ANDHRA PRADESH,NIZAMABAD,Reference Crop Evapotranspiration,3.72,4.61,5.77,6.62,7.02,5.93,4.87,4.52,4.47,4.31,3.71,3.43
ANDHRA PRADESH,NIZAMABAD,Potential Evapotranspiration,5.89,6.68,7.48,8.16,8.45,7.28,5.83,5.47,5.67,6.03,5.81,5.63
ANDHRA PRADESH,PRAKASAM,Precipitation,2.06,3.39,4.95,12.96,39.00,55.85,89.20,97.07,135.63,156.88,101.84,18.47
ANDHRA PRADESH,PRAKASAM,Minimum temperature,18.07,19.73,22.32,25.55,27.06,26.07,24.83,24.47,24.04,22.82,20.23,18.19
ANDHRA PRADESH,PRAKASAM,Average temperature,23.99,26.17,29.11,32.00,33.22,31.19,29.30,28.72,28.44,27.28,24.94,23.46
ANDHRA PRADESH,PRAKASAM,Maximum temperature,29.94,32.64,35.94,38.46,39.40,36.36,33.79,33.00,32.87,31.76,29.72,28.76
